,agency_code,school,zip_code,year,2019_med_hh_inc,int_pubsr,int_privsr,int_commcoll,int_privjr,int_trdbusnrs,int_other,int_totalsecondary,AP_pass_pct,AP_part_pct,CTE_cred_pct,CTE_enroll_pct,enroll_All,enroll_AmericanIndian,enroll_Asian,enroll_Black,enroll_Disadvantaged,enroll_EnglishLearners,enroll_Female,enroll_Hispanic,enroll_Male,enroll_Twoormore,enroll_PacificIslander,enroll_Disabilities,enroll_White,secondary_counselors
109,600466,Myers Park High School,28209,2014,99628.0,306.0,93.0,108.0,,2.5,126.0,635.0,0.66,0.27,,,0.7622047244,,,0.1322834646,0.1559055118,,0.3937007874,,0.368503937,,,,0.5354330709,
110,600480,North Mecklenburg High School,28078,2014,82225.0,108.0,34.0,60.0,2.5,11.0,172.0,387.0,0.24,0.13,,,0.5984455959,,,0.3393782383,0.2823834197,,0.329015544,,0.2694300518,,,,0.1580310881,
111,600482,,,2014,,56.0,36.0,24.0,,2.5,7.0,124.0,0.5,0.32,,,0.8629032258,,,0.3709677419,0.2741935484,,0.6129032258,0.0725806452,0.25,,,,0.3790322581,
112,600496,Phillip O Berry Academy of Technology,28208,2014,42570.0,138.0,59.0,60.0,6.0,2.5,21.0,288.0,0.23,0.3,,,0.7542662116,,,0.5938566553,0.4778156997,,0.4266211604,0.0819112628,0.3276450512,,,,,
113,600498,Performance Learning Center,28262,2014,,13.0,2.5,53.0,2.5,,12.0,81.0,0.13,0.16,,,0.3797468354,,,0.11392405059999999,0.1265822785,,0.2911392405,,0.0886075949,,,,0.2278481013,
114,600508,Providence High School,28270,2014,82270.0,297.0,56.0,106.0,2.5,,21.0,481.0,0.87,0.31,,,0.8861283644,,0.0848861284,0.0600414079,0.0683229814,,0.4078674948,,0.4782608696,,,,0.6832298137,
115,600535,South Mecklenburg High School,28210,2014,87928.0,202.0,66.0,237.0,2.5,6.0,67.0,581.0,0.66,0.27,,,0.6780238501,,,0.1413969336,0.2299829642,,0.3560477002,0.126064736,0.3219761499,,,,0.3594548552,
116,600576,West Charlotte High School,28216,2014,64442.0,111.0,7.0,175.0,2.5,7.0,50.0,351.0,0.15,,,,0.4102564103,,,0.3561253561,0.3418803419,,0.2421652422,,0.1680911681,,,,,
117,600579,West Mecklenburg High School,28214,2014,65706.0,53.0,16.0,238.0,2.5,,90.0,398.0,0.11,0.1,,,0.4559193955,,0.0528967254,0.2846347607,0.3425692695,,0.2392947103,0.0554156171,0.2166246851,,,,0.0503778338,
118,600592,Julius L. Chambers High School,28262,2014,,81.0,25.0,191.0,2.5,15.0,84.0,397.0,0.17,0.11,,,0.5125,,,0.38,0.3875,,0.275,0.0875,0.2375,,,,,
